especie,dia,bloque,limite
Perro,Lunes 16,10:00 - 11:00,3
Perro,Lunes 16,11:00 - 12:00,3
Perro,Lunes 16,12:00 - 13:00,2
Perro,Lunes 16,13:00 - 14:00,2
Perro,Lunes 16,15:00 - 16:00,2
Perro,Lunes 16,16:00 - 17:00,1
Perro,Lunes 16,17:00 - 18:00,1
Perro,Martes 17,10:00 - 11:00,1
Perro,Martes 17,11:00 - 12:00,1
Perro,Martes 17,12:00 - 13:00,1
Perro,Martes 17,13:00 - 14:00,1
Perro,Martes 17,15:00 - 16:00,1
Perro,Martes 17,16:00 - 17:00,1
Perro,Martes 17,17:00 - 18:00,1
Perro,Miércoles 18,10:00 - 11:00,2
Perro,Miércoles 18,11:00 - 12:00,2
Perro,Miércoles 18,12:00 - 13:00,2
Perro,Miércoles 18,13:00 - 14:00,2
Perro,Miércoles 18,15:00 - 16:00,2
Perro,Miércoles 18,16:00 - 17:00,1
Perro,Miércoles 18,17:00 - 18:00,1
Perro,Jueves 19,10:00 - 11:00,3
Perro,Jueves 19,11:00 - 12:00,4
Perro,Jueves 19,12:00 - 13:00,3
Perro,Jueves 19,13:00 - 14:00,3
Perro,Jueves 19,15:00 - 16:00,3
Perro,Jueves 19,16:00 - 17:00,4
Perro,Jueves 19,17:00 - 18:00,4
Perro,Viernes 20,10:00 - 11:00,3
Perro,Viernes 20,11:00 - 12:00,4
Perro,Viernes 20,12:00 - 13:00,4
Perro,Viernes 20,13:00 - 14:00,4
Perro,Viernes 20,15:00 - 16:00,4
Perro,Viernes 20,16:00 - 17:00,3
Perro,Viernes 20,17:00 - 18:00,3
Perro,Lunes 23,10:00 - 11:00,3
Perro,Lunes 23,11:00 - 12:00,3
Perro,Lunes 23,12:00 - 13:00,2
Perro,Lunes 23,13:00 - 14:00,2
Perro,Lunes 23,15:00 - 16:00,2
Perro,Lunes 23,16:00 - 17:00,2
Perro,Lunes 23,17:00 - 18:00,2
Perro,Martes 24,10:00 - 11:00,2
